Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
98,train,0.06309418013957399,0.9732597006249092,0.9754535512423471,0.9732664977060245
98,val,0.4819137695172021,0.8661825726141079,0.8739889611559946,0.8658885412889977
98,test,0.43992519964937304,0.8693647540983607,0.8748860495127213,0.8691498411429235
99,train,0.06732660369364749,0.9723877343409388,0.9746333925937345,0.9723938614957849
99,val,0.4910222045860845,0.8703319502074689,0.8780148566261532,0.8700299506178067
99,test,0.44292946037698966,0.8668032786885246,0.8723577864985257,0.8665785312085245
100,train,0.05911952422712799,0.9758755994768202,0.9778028082851424,0.9758834386235699
100,val,0.4877463283627854,0.8724066390041494,0.8796388555939675,0.8721701003568387
100,test,0.45277480219231275,0.8693647540983607,0.8747365753249718,0.8690589812717795
101,train,0.05955501955369066,0.9764569103328005,0.9783081095273788,0.9764591120916833
101,val,0.5066047911822054,0.8703319502074689,0.8780116094713737,0.8700561981869989
101,test,0.4755048996112386,0.8714139344262295,0.8769773866437441,0.8713445971907174
102,train,0.06791473005403874,0.9706438017729981,0.9730400839379711,0.9706453940408277
102,val,0.4884297600425625,0.8641078838174274,0.8721952948488975,0.8636743934668095
102,test,0.4587431149404557,0.875,0.8805988586835396,0.8749844148187269
103,train,0.06226322874199459,0.9738410114808894,0.9759789278481655,0.9738560358862094
103,val,0.48034794362748806,0.8713692946058091,0.8789806906606732,0.8710544271380577
103,test,0.4516157566523943,0.8719262295081968,0.8773258835421561,0.8717123215264979
104,train,0.054801540364534454,0.9790728091847115,0.9807580016318006,0.979074735433149
104,val,0.4969638665187408,0.8692946058091287,0.8770476583716519,0.8690042605069679
104,test,0.46844053561570215,0.8719262295081968,0.877428715866235,0.8717875741967822
105,train,0.0549231302558882,0.9783461706147363,0.9800469510153457,0.9783507604277406
105,val,0.5031316263052438,0.8630705394190872,0.871243735080351,0.862791630678839
105,test,0.4652480785963965,0.8688524590163934,0.8744496673265683,0.8687214436580784
106,train,0.0588868371151575,0.9770382211887807,0.9788598027162463,0.9770500248094096
106,val,0.5106089832377138,0.8661825726141079,0.8739243188299041,0.8657513694756176
106,test,0.47596090543465536,0.8642418032786885,0.8700518962958921,0.8640134874386428
107,train,0.057135643622388745,0.9761662549048103,0.9780752585964307,0.9761734310176299
107,val,0.508713281995528,0.8692946058091287,0.8766642126050019,0.8689244983522378
107,test,0.4710895839284678,0.8688524590163934,0.8741461185187301,0.8685133155233102
108,train,0.05813997490511542,0.9795087923266967,0.9811655278804322,0.9795129300483544
108,val,0.5025388619464463,0.8589211618257261,0.8670437011042644,0.8581361370506496
108,test,0.4653422246213819,0.8688524590163934,0.8743439663324303,0.8684517642677929
109,train,0.05398049693223852,0.9784914983287313,0.9801813705727034,0.9784958994219694
109,val,0.5126423739298746,0.8713692946058091,0.8788288224507582,0.8711259556170512
