Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
uci,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,val,0.31452980068709346,0.9118257261410788,0.915011254732079,0.9116586888622056,71
uci,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,test,0.3367805422329512,0.8939549180327869,0.8972561059853807,0.8937025457780421,71
kuhar,kuhar_k_28_lr_0.0005_bs_64.pkl_result,train,0.5883624939248153,0.6842105263157895,0.7250092588687894,0.6750995575505724,91
kuhar,kuhar_k_28_lr_0.0005_bs_64.pkl_result,val,1.4610507628178284,0.5149634227444025,0.5160316414421856,0.5273631268787959,91
kuhar,kuhar_k_28_lr_0.0005_bs_64.pkl_result,test,0.7278133741618346,0.5944391179290508,0.5993217334895543,0.5859711291487586,91
kuhar,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,train,0.5066463907827635,0.7569689040958035,0.8043913612869839,0.7559500218305868,33
kuhar,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,val,1.1771055977139973,0.6386610507647972,0.6289704165856679,0.6673849226219235,33
kuhar,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,test,0.6077096154225753,0.7420901246404602,0.7128219617099756,0.7424246567281788,33
kuhar,uci_k_28_lr_0.0005_bs_64.pkl_result,train,0.27939606761085417,0.8727986313776794,0.9214932353763104,0.8727795431798053,31
kuhar,uci_k_28_lr_0.0005_bs_64.pkl_result,val,2.130302860530193,0.5542008423852804,0.5715244112228812,0.543412644879477,31
kuhar,uci_k_28_lr_0.0005_bs_64.pkl_result,test,0.6031373198628998,0.7301054650047939,0.7278838992659898,0.7301140410559395,31
realworld,thigh_realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,train,0.3454714670118841,0.8879569012547736,0.8847824220874076,0.887811773513074,2
realworld,thigh_realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,val,1.4051510764523538,0.6218421465557822,0.631717133450499,0.6264052126347994,2
realworld,thigh_realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,test,0.9269196396326898,0.6952512678653757,0.6863673663362014,0.6904258817318961,2
motionsense,uci_k_28_lr_0.0005_bs_64.pkl_result,train,0.0958077059219443,0.9615480493580955,0.9669839579873228,0.9615498468224033,47
motionsense,uci_k_28_lr_0.0005_bs_64.pkl_result,val,0.5567236804193066,0.8596774193548387,0.8283856578311757,0.8574656214973337,47
motionsense,uci_k_28_lr_0.0005_bs_64.pkl_result,test,0.47371820381813634,0.8881327094853254,0.869118721908562,0.8853270824102621,47
motionsense,motionsense_k_28_lr_0.0005_bs_64.pkl_result,train,0.09148023510334365,0.9601769911504425,0.9700647629767024,0.9601757283802612,126
motionsense,motionsense_k_28_lr_0.0005_bs_64.pkl_result,val,1.6381393514653688,0.7709677419354839,0.7619229926305305,0.7765333642404929,126
motionsense,motionsense_k_28_lr_0.0005_bs_64.pkl_result,test,0.2437800309747166,0.9393874946831136,0.937703556251216,0.939431691108067,126
realworld,thigh_realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,train,0.38122946303591854,0.8700218221494818,0.8709768460707507,0.8713624005575918,79
realworld,thigh_realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,val,1.2563669350838222,0.6441236466342382,0.6358690268333885,0.6430180482883294,79
realworld,thigh_realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,test,1.0324944647805627,0.6740433379437529,0.6632383599327843,0.6614056050142336,79
kuhar,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,train,0.10672526260376984,0.9563248465331589,0.9754236412186469,0.9563324431959028,69
kuhar,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,val,2.377699086867476,0.5932165816892042,0.6063721393340085,0.5976656312567126,69
kuhar,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,test,0.5943969882460363,0.8159156279961649,0.8181138783537186,0.8175150262845561,69
